name, position, max_rating
L. MESSI, RWF, 99
K. MBAPPÉ, CF, 98
C. RONALDO, LWF, 97
H. KANE, CF, 96
R. LEWANDOWSKI, CF, 96
S. AGÜERO, CF, 96
P. DYBALA, SS, 96
J. SANCHO, RWF, 96
NEYMAR, LWF, 96
ANSU FATI, LWF, 96
K. DE BRUYNE, AMF, 96
FERRAN TORRES, RMF, 96
V. VAN DIJK, CB, 96
E. HAALAND, CF, 95
P. AUBAMEYANG, CF, 95
S. MANÉ, LWF, 95
J. KIMMICH, DMF, 95
S. DEST, RB, 95
M. DE LIGT, CB, 95
M. TER STEGEN, GK, 95
J. OBLAK, GK, 95
K. BENZEMA, CF, 94
L. SUÁREZ, CF, 94
JOÃO FÉLIX, SS, 94
RODRYGO, RWF, 94
BERNARDO SILVA, RWF, 94
M. SALAH, RWF, 94
O. DEMBÉLÉ, LWF, 94
S. GNABRY, RWF, 94
R. STERLING, LWF, 94
A. GRIEZMANN, LWF, 94
E. HAZARD, LWF, 94
BRUNO FERNANDES, AMF, 94
K. HAVERTZ, AMF, 94
F. DE JONG, CMF, 94
HECTOR BELLERÍN, RB, 94
T. ALEXANDER-ARNOLD, RB, 94
J. BOATENG, CB, 94
A. LAPORTE, CB, 94
R. VARANE, CB, 94
SERGIO RAMOS, CB, 94
T. WERNER, CF, 93
L. MARTÍNEZ, CF, 93
GABRIEL JESUS, CF, 93
M. ICARDI, CF, 93
R. LUKAKU, CF, 93
Á. DI MARÍA, RWF, 93
VINÍCIUS JÚNIOR, LWF, 93
M. RASHFORD, LWF, 93
L. SANÉ, LWF, 93
N. ZANIOLO, AMF, 93
SON HEUNG-MIN, LMF, 93
DANI PAREJO, CMF, 93
S. MILINKOVIĆ-SAVIĆ, CMF, 93
THIAGO, CMF, 93
T. KROOS, CMF, 93
RODRI, DMF, 93
CASEMIRO, DMF, 93
BUSQUETS, DMF, 93
M. PJANIĆ, DMF, 93
A. HAKIMI, RB, 93
A. DAVIES, LB, 93
A. ROBERTSON, LB, 93
M. ŠKRINIAR, CB, 93
T. COURTOIS, GK, 93
M. NEUER, GK, 93
ALISSON, GK, 93
RICHARLISON, LWF, 92
M. DEPAY, CF, 92
C. PULISIC, LWF, 92
H. ZIYECH, RWF, 92
P. COUTINHO, AMF, 92
ISCO, AMF, 92
C. ERIKSEN, AMF, 92
P. HØJBJERG, CMF, 92
T. NDOMBÈLÉ, CMF, 92
R. BENTANCUR, CMF, 92
N. KANTÉ, CMF, 92
SAÚL, CMF, 92
J. BRANDT, CMF, 92
L. GORETZKA, CMF, 92
P. POGBA, CMF, 92
DANI PAREJO, CMF, 93
OMAR MASCARELL, DMF, 92
L. TORREIRA, DMF, 92
T. PARTEY, DMF, 91
A. WAN-BISSAKA, RB, 92
ÉDER MILITÃO, CB, 92
L. HERNANDEZ, CB, 92
D. SÁNCHEZ, CB, 92
C. LENGLET, CB, 92
J. GIMÉNEZ, CB, 92
A. ROMAGNOLI, CB, 92
G. DONNARUMMA, GK, 92
EDERSON, GK, 93
DAVID DE GEA, GK, 92
L. JOVIĆ, CF, 91
D. ZAPATA, CF, 91
G. HIGUAÍN, CF, 91
A. MARTIAL, CF, 91
IAGO ASPAS, CF, 91
MORATA, CF, 91
W. BEN YEDDER, CF, 91
D. MERTENS, CF, 91
E. DŽEKO, CF, 91
R. JIMÉNEZ, CF, 91
C. IMMOBILE, CF, 93
PEDRO, RWF, 91
F. CHIESA, RWF, 91
R. MAHREZ, RWF, 92
K. COMAN, RWF, 91
DOUGLAS COSTA, RWF, 91
M. GUENDOUZI, CMF, 91
G. BALE, RWF, 91
EVERTON, LWF, 91
L. INSIGNE, LWF, 91
M. IHATTAREN, AMF, 91
M. MOUNT, AMF, 91
DAVID SILVA, AMF, 91
N. PÉPÉ, RMF, 91
İ. GÜNDOĞAN, CMF, 91
I. RAKITIĆ, CMF, 91
G. WIJNALDUM, CMF, 91
L. MODRIĆ, CMF, 91
A. WITSEL, DMF, 91
JAVI MARTÍNEZ, DMF, 91
B. PAVARD, RB, 91
CARVAJAL, RB, 91
N. TAGLIAFICO, LB, 91
JORDI ALBA, LB, 91
F. MENDY, LB, 91
ALEX SANDRO, LB, 91
J. GOMEZ, CB, 91
K. MANOLAS, CB, 91
L. BONUCCI, CB, 91
G. CHIELLINI, CB, 91
PIQUÉ, CB, 91
D. ALABA, CB, 92
J. CAMPBELL, RWF, 84
A. MERET, GK, 91
K. PIĄTEK, CF, 90
A. MILIK, CF, 90
J. CORREA, SS, 91
D. ALLI, AMF, 90
J. RODRÍGUEZ, RWF, 90
